country_alpha,loc_code,year,n,tradagg_mean,survsagg_mean
ALB,8001,2002,209,-0.11874959001318332,-0.6813032524549615
ALB,8001,1998,237,0.34265630074016706,-0.9026677374249279
ALB,8002,2002,186,0.22266234417839015,-0.8415979278104805
ALB,8002,1998,154,0.6228191850488164,-1.0504453574155268
ALB,8004,1998,62,0.451188021620076,-0.8281057630618182
AND,2,2018,87,0.7167486773628609,1.7601104305873176
AND,2,2005,215,0.8676057745086533,1.6940453001499918
AND,20001,2018,53,-0.13056774297851395,2.1081936076304464
AND,20001,2005,112,0.18838056750487864,1.7099451566703832
AND,20005,2018,61,0.755731983274829,2.1932181510176445
AND,20005,2005,220,1.0930966844374965,2.0839474192091916
AND,20006,2005,95,1.1787621092514717,2.6180739828465067
AND,20008,2018,56,0.12080657750359954,2.2556705037284397
ARG,3,1999,69,-0.5188799442396768,-0.15185423032754422
ARG,3,1995,78,-0.17056790288287507,0.1156524522035189
ARG,4,2013,71,0.14197165448035715,-0.00529510230670465
ARG,5,2013,72,0.27481156250455363,0.3295500733882213
ARG,5,1995,108,-0.5619909766167214,0.3841535355640351
ARG,32001,2017,211,-0.09503755451169663,0.37501379045008454
ARG,32001,2013,220,-0.3118462989327613,0.7482551936774599
ARG,32004,2013,65,-0.12414411712940057,0.45688944146184357
ARG,32006,1995,111,0.2432596745522283,1.0397936004569979
ARG,32009,2017,176,-0.5982802211230893,0.6063086017022709
ARG,32012,2006,241,-0.9650527112314153,0.35543625597784484
ARG,32012,1999,262,-1.2222299758872288,0.03974633208057452
ARG,32012,1995,232,-1.0100980773309987,0.07653710855045716
ARG,32013,1999,272,-0.6267907013365234,0.4301987345135776
ARG,32013,1995,107,-0.5693143388383877,0.5183306997646423
ARG,32101,2017,102,-0.4044961616570246,0.23381637834721877
ARG,32105,2017,50,-0.5634001226348253,0.5011803302498787
ARM,2,2021,62,-1.2316892561679955,-0.9006338015330877
ARM,4,2021,208,-1.2471251767231375,-0.7800901263430116
ARM,4,2011,131,-0.4787136918209228,-1.4055871044885442
ARM,4,1997,73,0.47072490917923826,-1.2229363596913325
ARM,51001,1997,274,0.24627022182031139,-0.7370121939759444
ARM,51002,1997,208,0.8872858670186721,-0.901631391698394
ARM,51003,1997,276,0.8905695592498271,-1.3557134473744954
ARM,51005,1997,130,0.8485356410114203,-0.7697750977779554
ARM,51006,1997,65,1.1737718589884731,-1.1680228489241515
ARM,51007,1997,70,0.6785708663354731,-0.7793508412620195
ARM,51009,2011,216,-0.9546089542245397,-1.1611939318438447
ARM,51027,2011,191,-0.9056895864047123,-1.1056357484570958
ARM,51035,2021,291,-1.5225426813605745,-0.7320911026094405
AUS,8,1995,137,-0.33134126223337224,2.0469722832048114
AUS,36001,2018,490,0.5716030639132308,2.423579332223977
AUS,36001,2012,406,0.31096116005308977,2.087901774066515
AUS,36001,2005,376,0.04660498346030728,2.224424738073369
AUS,36001,1995,589,-0.39262697054112217,1.9329684827266187
AUS,36002,2018,601,-0.05670936704971952,2.451017550156175
AUS,36002,2012,563,-0.26216988914600153,1.9837495222899537
AUS,36002,2005,586,-0.3529203234506643,1.9646410271499224
AUS,36002,1995,582,-0.7400343937170799,1.907834850042247
AUS,36003,2018,63,-0.4390397279758484,2.171706384551897
AUS,36003,2012,73,-0.26018781900396837,1.6094255580502521
AUS,36003,1995,87,-1.0128396485564968,1.3463476746094332
AUS,36004,2018,211,1.6151549454164122,2.9366940215944077
AUS,36004,2012,173,1.0676719052518369,2.5512634548633706
AUS,36004,2005,103,0.7895031453083625,2.881220747872412
AUS,36004,1995,145,0.29246124431201365,2.4270760521221497
AUS,36005,1995,118,-0.18291389126755966,2.3896582965427102
AZE,4,2011,140,0.22658453392992056,-1.733373359692827
AZE,4,1997,663,-0.036113984173175025,-1.1775414691482922
AZE,31001,2011,763,-0.8155362929986928,-1.12381777075623
AZE,31001,1997,614,-0.28282968980713535,-1.0519522153706946
AZE,31006,1997,51,-0.3707707168973502,-1.1320959929776377
AZE,31025,1997,57,0.3036448511297916,-1.4829894355666362
BFA,5,2007,70,-1.0225317260360467,-0.6895687767257039
BFA,854001,2007,538,-1.3209359466806,-0.7655484903742421
BFA,854002,2007,72,-1.1216220566983282,-1.134089799312581
BGD,50001,2018,430,-1.585532905012015,-0.6648151298417883
BGD,50001,2002,591,-1.1119165804734026,-0.9907998934930192
BGD,50002,2018,151,-1.4338339286103075,-0.7596587950487669
BGD,50002,2002,410,-1.0718040920247605,-0.9834070794206985
BGD,50003,2002,164,-1.0994791551106882,-1.2604481733277724
BGD,50004,2002,65,-1.1461113486923087,-1.2470264825459163
BGR,2,2006,128,1.4047642057813936,-0.44135120049999205
BGR,100001,1997,226,0.9171646539379653,-0.06037016301915389
BGR,100003,2006,171,0.8884060040729049,-0.8334910246095285
BGR,100003,1997,72,1.0040283857935122,-0.8742553303999271
BGR,100019,2006,77,1.431788703635067,0.014264991413191283
BIH,2,2001,195,1.110370433727011,-0.8500886040837189
BIH,70004,1998,77,-0.07485422498773461,-0.5214194222383705
BIH,70009,2001,119,-0.6594092555572739,-0.7518671706734579
BIH,70009,1998,216,-0.5958956683544322,-0.3744880548219736
BIH,70010,2001,122,-0.19760672355301281,-0.37017130514445523
BIH,70010,1998,84,-0.27659553954761257,-0.2823679344676836
BIH,70015,2001,174,0.4388961020777095,-0.23984128166753713
BIH,70016,1998,125,0.42545025008054815,-0.6061565591752751
BIH,70039,1998,92,0.37807113940137144,-0.4379123142999024
BLR,5,1990,57,1.2042200782016055,-0.9001205477312483
BLR,112001,1990,211,0.6576447160679869,-0.8394853751765242
BLR,112003,1996,172,0.6722014984280732,-1.0950181206592027
BLR,112007,1990,107,1.430292588138187,-0.6282054245087737
BLR,112009,1996,94,0.8248881267361946,-1.4442222880168494
BLR,112011,1990,67,1.6491453845433068,-0.4614501089420596
BLR,112016,1996,89,1.2577081515189865,-0.6877444270044512
BLR,112016,1990,172,1.1128258634800923,-0.5707803090777439
BLR,112024,1996,65,1.1256686587215643,-1.2602735931139932
BLR,112028,1996,55,1.6916080962406028,-1.1247250047966582
BLR,112032,1996,64,0.41394323255642906,-1.6531783014443453
BOL,3,2017,302,-1.1541576645633485,-0.4472507001521837
BOL,5,2017,361,-1.2417896496810525,-0.01215643957262285
BOL,68001,2017,561,-1.2473304908930427,-0.5227743370981751
BOL,68002,2017,101,-1.3231312670020399,-0.18889965017528068
BOL,68003,2017,128,-1.2253205187124059,-0.475964069289609
BRA,4,2014,611,-0.6342227501189446,-0.10754096837572207
BRA,4,2006,303,-0.6990343979857637,-0.168865859270271
BRA,5,2018,138,-0.23123568476837214,-0.08467557604710305
BRA,76001,2014,91,-1.072222004311167,-0.06097156660978421
BRA,76001,2006,167,-0.9196771432524665,-0.15994910628547734
BRA,76001,1997,177,-1.3373459634309004,-0.6427029997089984
BRA,76001,1991,144,-1.0388741235044163,-0.7063077017208759
BRA,76002,2018,265,-0.4122058374204076,-0.024184585375880297
BRA,76002,2014,201,-0.8838948104186439,-0.04729909296255179
BRA,76002,2006,505,-0.9332115767455379,-0.011504654052405673
BRA,76002,1997,262,-0.6852340502895554,-0.2672977563667808
BRA,76002,1991,186,-0.2517474407420419,-0.17480917393305584
BRA,76003,2018,53,-0.2179340332478925,-0.5473145400992951
BRA,76003,2014,53,-1.1303451521186394,0.6010639624404703
BRA,76003,2006,149,-1.0618974583509935,0.2865328579773929
BRA,76003,1997,94,-1.4117175762029905,-0.052101507354954855
BRA,76004,1991,65,-0.6287116051114853,-0.10359291886381275
BRA,76006,2006,52,-0.8871752336592402,-0.28495649244896043
BRA,76006,1997,82,-1.2523009075461458,-0.25999146941561185
BRA,76007,1997,61,-1.34492639744085,-0.5753925342818544
CAN,2,2020,125,1.201273361759425,0.5404682604648393
CAN,4,2006,207,-0.6465889682683816,1.5919003363482978
CAN,5,2020,64,1.294624287782043,1.1901334847505909
CAN,5,2006,62,-0.15002637288106885,2.4449397968023137
CAN,124001,2020,1042,0.5124594292238606,2.485605674282014
CAN,124001,2006,463,-0.9436321285692839,1.9753206320314713
CAN,124001,2000,605,-0.764024394428369,1.8909431978891795
CAN,124002,2020,866,0.4080692227094445,1.8280327269077614
CAN,124002,2006,531,-1.016584606444913,1.7669230899405637
CAN,124002,2000,149,-1.051116685099273,1.826711201879138
CAN,124003,2020,611,1.3379215055358906,2.5503207207514116
CAN,124003,2006,292,-0.36969192362917036,2.281817065984317
CAN,124003,2000,136,-0.35135050246256694,2.30869801970143
CAN,124005,2000,196,-0.7708385783260637,1.8071581769315943
CAN,124006,2020,253,1.4022927311332898,2.5648641058211896
CAN,124006,2006,163,0.28099209968084793,2.224253985705737
CAN,124006,2000,152,-0.06203737071932823,1.9170773998265962
CAN,124007,2020,250,1.25942473526383,2.553454169258982
CHE,756001,1996,136,0.4797337022705493,1.6215822651986476
CHE,756002,1996,149,0.8580525813839901,1.4402795886178041
CHE,756003,1996,95,-0.41713137502916064,1.2237610578729343
CHE,756041,1996,221,0.6959104113518468,1.3414890078532675
CHE,756042,1996,68,0.6305112899538796,1.5224397874587656
CHL,3,2006,241,-0.5565046656455194,-0.10528971480607417
CHL,4,2018,300,0.1743049484170739,-0.135258986005065
CHL,4,2012,211,-0.16692423402908996,-0.15836404191331252
CHL,4,2000,180,-0.7181121284159835,-0.13261164105581766
CHL,4,1996,267,-0.5911231643247677,-0.5978609561831535
CHL,5,1990,83,-1.0762150364122764,-0.4490721334135881
CHL,8,2000,65,-0.7553526734938867,-0.11638467333807923
CHL,152001,2006,68,-0.7472081041836396,-0.24846026050677517
CHL,152001,2000,95,-0.839444961839786,-0.3437273130791518
CHL,152001,1996,57,-0.8101143040472748,-0.3784549983130244
CHL,152002,2012,56,-0.7243725050942089,0.07439198076520769
CHL,152002,2006,80,-0.7532989704697473,0.12415530032889999
CHL,152002,2000,74,-0.8812353551166607,-0.43314932275279244
CHL,152002,1996,58,-0.5252317163559395,-0.2666190841266171
CHL,152002,1990,109,-0.9406952006640962,-0.356058832129297
CHL,152004,2012,89,-0.5754870668010345,0.02900945098573804
CHL,152004,2006,103,-0.9821805415347654,-0.08714591941999239
CHL,152004,2000,154,-1.2585939460006303,-0.04887555038973776
CHL,152004,1996,193,-0.9770030088142329,-0.3822776498489764
CHL,152004,1990,619,-0.9818460587805371,-0.7647845365680959
CHL,152006,2012,64,-0.12334255423125409,0.3889594809018641
CHL,152006,2006,72,-0.7957087317362129,0.10065464768818783
CHL,152006,2000,142,-0.9931008311778183,0.014804673112514486
CHL,152006,1996,106,-0.7336952584189558,-0.29265038949772687
CHL,152007,2012,92,-0.18482379105531785,0.3932636299390733
CHL,152007,2006,124,-0.5662454793029332,0.23273365611446892
CHL,152007,2000,87,-0.5100380920379021,0.15751610463451007
CHL,152007,1996,65,-0.7913725440386085,0.11834946102024672
CHL,152007,1990,153,-0.4971681725415535,-0.04332082749345059
COL,1,2018,60,-1.2606339564446083,0.7404154710045767
COL,3,2018,203,-1.5330780044845649,0.2631803283472002
COL,4,2012,401,-1.7461207305286692,0.1844001394384346
COL,4,2005,570,-1.6846581916597931,0.06023177270817644
COL,5,2005,103,-1.704403456863713,0.3313340813816518
COL,7,2012,64,-1.6089068591035767,0.09033634829141375
COL,8,2005,174,-1.7152359141952422,0.747118108893304
COL,170001,2018,110,-1.697824608164735,-0.16766134447823391
COL,170001,2012,142,-1.9350148150212039,-0.0803911632800971
COL,170001,2005,256,-1.8990148618388056,-0.06812475879354689
COL,170002,2018,208,-1.7591860524934826,-0.017860790130845516
COL,170002,2012,300,-1.898401591201127,-0.07258191155338506
COL,170002,2005,736,-1.8821018914051664,-0.08154696396502091
COL,170003,2018,83,-1.9461071077894745,0.06735060556772289
COL,170003,2012,223,-1.8319783738059092,0.0796091955155557
COL,170003,2005,448,-1.797452267942806,0.35643848706284603
COL,170006,2018,75,-1.1551646442181525,1.423370515518026
COL,170008,2018,56,-1.1246924989261042,1.0781637608176848
COL,170011,2005,111,-1.889320384962009,0.8951038893749824
COL,170014,2005,145,-2.157463592131202,0.04917256796451005
COL,170016,2005,89,-1.3905154641814204,0.6562473647409344
COL,170021,2018,174,-1.8929154423619707,0.1245557115787834
CYP,5,2006,94,-0.6076197599658644,-0.5140706629581223
CYP,196001,2011,96,-0.32885307114998075,-0.7389754748131404
CYP,196001,2006,121,-0.6748558711364034,-0.012619310904486519
CYP,196002,2019,70,-0.8607339162903425,-0.5437789202972018
CYP,196002,2011,93,-0.5218838798615059,-0.4913993780031756
CYP,196002,2006,142,-0.44498288034349226,-0.15752544660548018
CYP,196003,2006,88,-0.9356171201830491,-0.169177761226513
CYP,196009,2011,140,-0.3647963794238131,-0.038526258311895975
CYP,196009,2006,107,-0.8606015510773587,0.10348863693458579
CYP,196011,2011,99,-0.12001496613895375,0.3716227200813717
CYP,196011,2006,144,-0.1687828111640026,0.7100618066511579
CZE,203001,2022,65,1.4279419275785652,0.2843001314463299
CZE,203001,1998,188,1.1941202716942214,0.9282718849897554
CZE,203003,1998,87,0.18426130523500783,0.5214230190564887
CZE,203006,1998,69,1.2893133792325089,0.405467864987614
CZE,203009,2022,114,1.2684330036562448,1.3929229014652016
CZE,203009,1998,140,1.0366199428225016,1.385518660074863
CZE,203013,1998,61,1.2620561491731996,1.6444103686775582
CZE,203048,2022,262,1.1007709676842248,0.8055944586587115
CZE,203050,2022,100,1.2213639035966173,1.5586438531508287
CZE,203076,2022,77,1.4005560924890583,0.9767366751243902
CZE,203078,2022,93,1.3719777498798138,0.9603804800108475
DEU,4,2006,181,2.087381051384761,0.12050801547295066
DEU,276001,2018,359,0.2782443751668048,2.123919032066404
DEU,276001,2013,584,0.58108370179569,1.2788617008092311
DEU,276001,2006,395,0.6404969540293611,0.7113437691545746
DEU,276001,1997,320,0.8956672901833436,0.9225893677151676
DEU,276002,2018,211,0.9910769665352454,2.014681774044197
DEU,276002,2013,380,0.9533431049761046,1.3482933182664663
DEU,276002,2006,352,1.236482733917679,1.1867583024577628
DEU,276002,1997,484,1.8218207397938992,1.115106904095587
DEU,276003,2018,79,0.6996568127738318,2.3061223818738417
DEU,276003,2006,66,1.4056959131287725,1.1198326953960647
DEU,276004,2018,153,1.7149574265488967,2.9193715993101295
DEU,276004,2013,137,1.2944309546472768,2.068038047438548
DEU,276004,2006,88,2.257113405216373,1.9984506564422218
DEU,276004,1997,243,2.5025132386946938,1.8512719802237227
DEU,276005,2013,195,1.4288872100725476,1.1154749790756049
DEU,276005,2006,156,2.0696517440472215,1.06844496142859
DEU,276005,1997,126,2.737078277637789,1.0505543786829672
DEU,276033,2018,66,0.818248301881906,1.4802021750524839
DEU,276034,2018,92,1.6882100726413203,2.60756168143511
DOM,214001,1996,129,-0.9328022988921677,-0.32456051538692904
DOM,214002,1996,87,-1.1866700887380544,0.030405827641124736
DZA,2,2014,154,-0.7093087595205878,-0.8307333444923836
DZA,12001,2014,62,-0.921855178448766,-0.6795426721322326
DZA,12001,2002,273,-1.4307685114571804,-1.1159176375278772
DZA,12003,2002,87,-1.3843537091262363,-1.0738577039804833
DZA,12006,2014,60,-1.00735588629683,-0.6125253484611478
ECU,4,2018,56,-1.4434841575631174,-0.050251614896839145
ECU,4,2013,243,-1.8216680672013694,-0.3640717280075703
ECU,7,2013,63,-1.5757160934633598,-0.30269584419148304
ECU,218001,2018,297,-1.9077678110297787,0.16123260140393045
ECU,218001,2013,646,-1.7495714855435527,-0.18920932610379226
ECU,218014,2018,129,-1.8548132570557985,-0.0673126803776395
ECU,218014,2013,140,-1.7424580795385214,-0.06085093546479411
ECU,218019,2018,62,-1.8697236717676173,-0.3414694900043806
EGY,2,2001,1244,-1.3212369589254926,-0.9140862285057093
EGY,8,2001,313,-1.4983289815326006,-0.6205811605324055
EGY,818001,2001,1096,-1.6609914064096594,-0.49765902089157893
EGY,818002,2001,58,-1.3513430978180094,-0.6289024935295696
ESP,2,2011,156,1.0114635977840563,0.5139825798033579
ESP,2,2007,113,0.3027505836270577,0.22431031311822458
ESP,2,2000,100,0.3651797737890609,0.8284718689051681
ESP,2,1995,126,-0.12294368780544852,0.47423390823901523
ESP,2,1990,111,0.5818674160434829,0.07600772425991018
ESP,724001,2011,163,0.3342549220323058,0.7117903670967688
ESP,724001,2007,387,0.3711443970152607,1.1694023843846333
ESP,724001,2000,232,0.08916602538427007,0.8254179879480046
ESP,724001,1995,187,-0.606358254752999,0.33144592295221414
ESP,724001,1990,253,0.06972774139836979,0.08555328995668196
ESP,724002,2011,228,-0.054835122801354,0.23844907867714935
ESP,724002,2007,209,-0.4708263320631309,0.41433548420485394
ESP,724002,2000,242,-0.3987354048722489,0.45557475115764484
ESP,724002,1995,214,-0.8611039396621917,0.37391056011367296
ESP,724002,1990,90,-0.7008883504477321,-0.27595852954141525
ESP,724003,2000,60,1.0514493963756806,1.5730986255353117
ESP,724003,1995,80,0.8173298009693335,1.5755870679002129
ESP,724003,1990,80,1.2134581060982947,1.5164048904017506
EST,5,2011,59,1.1928047630681238,-0.17865399758588785
EST,233002,2011,305,1.441234008856882,-1.1420517247960478
EST,233002,1996,63,1.3900548060089681,-0.5399275820674752
EST,233005,1996,55,1.431710038545455,-1.1341330752441627
EST,233008,2011,180,0.9218662674768641,0.2492535619820906
EST,233008,1996,90,1.6687915565574125,-0.19415301306069088
EST,233014,1996,60,1.633809781003611,-0.951460391050696
EST,233030,2011,134,0.8709793502252348,0.3301301333525617
EST,233031,2011,187,1.2543531535881103,0.06556000561164312
EST,233035,1996,50,1.012440730159228,-1.1457727430423976
ETH,231005,2020,67,-1.2233140534346385,-1.2322541163837089
ETH,231008,2007,313,-0.45733178120792733,-0.790245245129857
ETH,231010,2007,58,-0.0067110358472790175,-1.8291791964445794
ETH,231011,2007,111,-1.3103970771217779,0.08226419494537945
ETH,231028,2020,503,-1.468161758266698,-0.8320035244370263
ETH,231033,2020,91,-1.2327286823696635,-1.1942935752857307
FIN,2,2005,60,0.6576131882858237,0.5330233821926885
FIN,2,1996,51,1.0393017508514604,0.9831284853465376
FIN,246001,2005,203,0.5168326118680104,1.7472214778768715
FIN,246001,1996,182,0.5704347788626832,1.0443568320206988
FIN,246002,2005,180,0.03079351702044175,1.1617979129139913
FIN,246002,1996,136,0.22528632183753497,0.8681082020430502
FIN,246003,2005,128,0.43506149973830005,1.6622981866073736
FIN,246003,1996,93,0.22845114173922118,1.8241659063885791
FIN,246004,2005,52,0.8250781211867297,2.039401799668649
FIN,246006,2005,83,1.0621234458815503,2.8300147204674
FIN,246006,1996,84,0.9114993803130554,2.0907137863605834
GBR,4,2022,184,1.1337031845103562,1.5480586862485903
GBR,826001,2022,463,0.0931133195424956,2.3635877418111364
GBR,826002,2022,573,1.3423676008224863,2.198381972366748
GBR,826003,2022,186,1.1656143321479913,2.8487699621524594
GBR,826006,2022,122,1.8672264717828158,2.1146782933677013
GBR,826009,2022,138,1.8745825145151362,2.5261806791821275
GEO,2,2014,65,-0.5764668079250652,-1.5005667571586878
GEO,2,2009,94,-0.8515298872155844,-1.3459281790296866
GEO,4,2014,75,-0.5631086175409203,-1.5491641666075326
GEO,268002,1996,98,0.07569461259260944,-0.9059528266343846
GEO,268003,1996,151,0.1953761918244733,-1.761753224319139
GEO,268005,1996,373,-0.17959059379227554,-0.9604941901752797
GEO,268012,1996,82,-0.2582545509487198,-1.0365747009329827
GEO,268013,1996,370,-0.2390832044085971,-1.140856819606504
GEO,268101,2014,97,-0.6287730896557822,-1.5582131444077658
GEO,268101,2009,291,-0.8024689467962388,-1.333925083366166
GEO,268108,2009,54,-0.4503544780631961,-1.530266191033452
GEO,268123,2014,233,-1.0269629769048627,-1.251474599788566
GHA,4,2012,343,-1.99386818915863,-0.8202470438675916
GHA,288001,2012,463,-1.9413058701846193,-0.9622626618049055
GHA,288001,2007,322,-1.561420104407813,-0.8134548395649289
GHA,288002,2012,668,-1.756311122087096,-1.0024643953241692
GHA,288002,2007,692,-1.9496493979052487,-0.673842630921604
GHA,288003,2012,63,-1.9484120395584983,-0.5650842760263711
GRC,2,2017,124,0.2090667870034647,-0.47262889137051484
